MSSV,HoTen,Lop,DiemToan,DiemLy,DiemHoa,DiemTB,VangPercent,XepLoai
SV0001,Phan Van Phong,23DTH1B,7.08,6.65,7.97,7.23,15.0,Gioi
SV0002,Nguyen Thuy Trang,23DTH1C,4.27,3.27,3.84,3.79,13.0,Yeu
SV0003,Do Cong Khang,23DTH1D,9.12,9.52,8.43,9.02,8.0,Xuat sac
SV0004,Duong Huu An,23DTH2A,6.39,6.8,5.81,6.33,3.2,Kha
SV0005,Tran Huu Thanh,23DTH2B,9.09,9.47,7.8,8.79,14.7,Xuat sac
SV0006,Pham Huu Hai,23DTH2C,5.91,4.97,6.44,5.77,8.3,Kha
SV0007,Dang Bich Phuong,23DTH2D,6.55,8.46,7.33,7.45,12.3,Gioi
SV0008,Bui Thi Binh,23DTH1A,6.63,7.48,7.93,7.35,9.0,Gioi
SV0009,Dang Kim Phuong,23DTH1B,7.79,7.93,7.0,7.57,1.7,Gioi
SV0010,Tran Ngoc Uyen,23DTH1C,5.22,4.04,5.61,4.96,0,Trung binh
SV0011,Huynh Huu Hung,23DTH1D,7.29,8.12,6.86,7.42,9.5,Gioi
SV0012,Le Thanh Nhi,23DTH2A,6.02,5.29,5.84,5.72,10.5,Kha
SV0013,Ho Thu Quyen,23DTH2B,8.61,8.57,8.42,8.53,21.6,Xuat sac
SV0014,Pham My Giang,23DTH2C,8.23,8.54,9.84,8.87,8.0,Xuat sac
SV0015,Vo Bich Nga,23DTH2D,6.93,7.28,5.34,6.52,0,Kha
SV0016,Dang Thanh Oanh,23DTH1A,7.61,5.71,6.05,6.46,14.4,Kha
SV0017,Huynh Duc Khoa,23DTH1B,6.18,6.41,5.58,6.06,10.6,Kha
SV0018,Ngo Duc Cuong,23DTH1C,4.5,4.53,5.44,4.82,2.1,Trung binh
SV0019,Vu Thuy Uyen,23DTH1D,6.66,5.14,6.47,6.09,16.9,Kha
SV0020,Tran Quoc Khoa,23DTH2A,7.19,7.27,6.88,7.11,0.8,Gioi
SV0021,Huynh Huu Phuc,23DTH2B,6.16,6.99,6.08,6.41,6.3,Kha
SV0022,Le Huong Linh,23DTH2C,6.07,6.17,5.22,5.82,8.3,Kha
SV0023,Ngo Huu Minh,23DTH2D,5.2,6.71,6.71,6.21,12.1,Kha
SV0024,Vu Duc Quan,23DTH1A,5.52,4.84,3.24,4.53,14.6,Trung binh
SV0025,Phan Cong Quan,23DTH1B,5.64,6.74,6.99,6.46,19.2,Kha
SV0026,Ho Trung Hung,23DTH1C,9.97,9.34,9.76,9.69,10.2,Xuat sac
SV0027,Nguyen Huu Thanh,23DTH1D,6.01,5.82,6.73,6.19,0,Kha
SV0028,Bui Minh Son,23DTH2A,6.4,5.69,5.96,6.02,5.3,Kha
SV0029,Huynh Van Quan,23DTH2B,4.38,4.95,5.95,5.09,18.9,Trung binh
SV0030,Huynh My Hoa,23DTH2C,7.51,6.28,7.01,6.93,2.3,Kha
SV0031,Phan Kim Uyen,23DTH2D,9.08,7.79,8.84,8.57,0,Xuat sac
SV0032,Dang Thuy Binh,23DTH1A,8.1,8.08,7.66,7.95,17.2,Gioi
SV0033,Duong My Yen,23DTH1B,7.62,7.66,6.39,7.22,3.6,Gioi
SV0034,Huynh Kim Yen,23DTH1C,5.27,5.91,6.98,6.05,0.4,Kha
SV0035,Le Hoang Dat,23DTH1D,10,9.96,9.63,9.86,7.6,Xuat sac
SV0036,Le Quoc Khang,23DTH2A,6.67,8.31,7.9,7.63,5.8,Gioi
SV0037,Bui Duc Thanh,23DTH2B,6.18,5.61,6.76,6.18,17.7,Kha
SV0038,Ho Huong An,23DTH2C,6.57,6.45,7.01,6.68,6.9,Kha
SV0039,Vo Anh Tuan,23DTH2D,7.53,7.32,7.53,7.46,0,Gioi
SV0040,Hoang Kim Trang,23DTH1A,7.85,9.31,8.22,8.46,19.6,Gioi
SV0041,Hoang Quoc Long,23DTH1B,8.23,8.25,6.9,7.79,18.5,Gioi
SV0042,Bui Hoang Binh,23DTH1C,6.1,6.9,6.42,6.47,14.7,Kha
SV0043,Phan Bich Van,23DTH1D,3.94,4.68,4.1,4.24,2.5,Trung binh
SV0044,Vu Thu An,23DTH2A,4.09,4.55,3.77,4.14,9.9,Trung binh
SV0045,Bui Minh Dat,23DTH2B,9.73,9.56,9.81,9.7,2.4,Xuat sac
SV0046,Le Kim An,23DTH2C,7.37,6.22,6.16,6.58,12.4,Kha
SV0047,Pham Van Dat,23DTH2D,7.7,8.24,7.49,7.81,3.5,Gioi
SV0048,Vu Anh Khang,23DTH1A,6.54,7.56,7.46,7.19,21.9,Gioi
SV0049,Nguyen Thuy Quyen,23DTH1B,5.07,5.88,6.76,5.9,18.8,Kha
SV0050,Hoang Thu Nga,23DTH1C,7.29,5.59,4.79,5.89,11.3,Kha
SV0051,Ngo Huong Duyen,23DTH1D,7.44,8.42,8.28,8.05,25.8,Gioi
SV0052,Ho My Nga,23DTH2A,7.55,8.14,7.0,7.56,7.5,Gioi
SV0053,Hoang Gia Dung,23DTH2B,8.05,9.13,7.71,8.3,7.8,Gioi
SV0054,Ho My Ha,23DTH2C,5.39,5.43,5.39,5.4,14.3,Trung binh
SV0055,Tran Hoang Giang,23DTH2D,7.13,7.51,7.78,7.47,4.4,Gioi
SV0056,Nguyen Cong Long,23DTH1A,5.83,4.69,4.75,5.09,15.0,Trung binh
SV0057,Le My Quyen,23DTH1B,7.44,6.97,7.11,7.17,12.3,Gioi
SV0058,Le Thu Trang,23DTH1C,8.51,8.68,8.44,8.54,0,Xuat sac
SV0059,Huynh Bich Duyen,23DTH1D,5.81,5.96,5.2,5.66,0,Kha
SV0060,Phan Thuy Hoa,23DTH2A,8.46,7.86,8.13,8.15,11.9,Gioi
SV0061,Bui Kim Mai,23DTH2B,8.98,8.57,7.5,8.35,0,Gioi
SV0062,Bui Ngoc Giang,23DTH2C,3.65,3.77,4.03,3.82,16.9,Yeu
SV0063,Ngo Lan Linh,23DTH2D,3.18,3.74,4.07,3.66,10.7,Yeu
SV0064,Bui Thuy Linh,23DTH1A,7.14,7.71,7.11,7.32,17.1,Gioi
SV0065,Duong Anh Khoa,23DTH1B,6.52,5.82,5.73,6.02,0.3,Kha
SV0066,Vo Quoc An,23DTH1C,6.22,5.47,5.09,5.59,9.5,Kha
SV0067,Tran Ngoc Mai,23DTH1D,5.34,5.77,4.79,5.3,7.7,Trung binh
SV0068,Huynh Thuy Giang,23DTH2A,7.39,6.51,7.67,7.19,20.6,Gioi
SV0069,Nguyen Lan Van,23DTH2B,8.09,7.05,7.27,7.47,13.0,Gioi
SV0070,Bui Lan Van,23DTH2C,5.44,5.18,4.49,5.04,12.6,Trung binh
SV0071,Bui Thi Binh,23DTH2D,6.67,8.52,7.09,7.43,16.2,Gioi
SV0072,Phan Hoang Khang,23DTH1A,4.64,5.36,4.77,4.92,10.8,Trung binh
SV0073,Hoang Kim Van,23DTH1B,4.8,4.17,3.88,4.28,31.7,Trung binh
SV0074,Bui Thu Nhi,23DTH1C,8.27,8.04,7.84,8.05,0,Gioi
SV0075,Bui Cong Dung,23DTH1D,4.88,5.6,6.53,5.67,5.5,Kha
